УКРАЇНА 45962947 45778534 45633637
смт Никифорове 387 382 379
смт Первомайське 551 542 533
смт Первомайський 2843 2834 2831
смт Побєда 551 549 541
смт Сєверне 10200 10094 10052
Сільське населення 806 791 786
Торез (міськрада) 82920 82161 81761
Міське населення 82920 82161 81761
м. Торез 60032 59199 58728
смт Пелагіївка 17829 17891 17968
смт Розсипне 5059 5071 5065
Харцизьк (міськрада) 106162 105487 105104
Міське населення 105181 104521 104151
м. Харцизьк 60326 60016 59763
м. Зугрес 18690 18554 18586
м. Іловайськ 16255 16143 16091
смт Войкове 43 43 37
смт Гірне 3463 3428 3425
смт Зуївка 3291 3269 3252
смт Миколаївка 173 167 153
смт Покровка 172 170 170
смт Троїцько-Харцизьк 1053 1048 1015
смт Шахтне 868 854 840
смт Широке 847 829 819
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_______________________9_8_1_________9_6_6_________9_5_3_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
54
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Шахтарськ (міськрада) 62455 61758 61234
Міське населення 60551 59869 59376
м. Шахтарськ 52112 51593 51161
смт Контарне 1620 1576 1550
смт Московське 729 696 682
смт Сердите 1932 1920 1915
смт Стіжківське 4158 4084 4068
Сільське населення 1904 1889 1858
м. Ясинувата 36236 35990 35843
Амвросіївський район 47465 46705 46081
Міське населення 24805 24477 24172
м. Амвросіївка 19484 19238 19021
смт Войковський 1241 1218 1178
смт Кутейникове 1798 1767 1734
смт Новоамвросіївське 2282 2254 2239
Сільське населення 22660 22228 21909
Артемівський район 46650 45972 45367
Міське населення 15063 14824 14654
м. Сіверськ 12608 12392 12252
смт Луганське 2455 2432 2402
Сільське населення 31587 31148 30713
Великоновосілківський район 42975 42372 41943
Міське населення 6378 6265 6194
смт Велика Новосілка 6378 6265 6194
Сільське населення 36597 36107 35749
Волноваський район 86015 85297 84579
Міське населення 52223 51983 51727
м. Волноваха 23484 23442 23370
смт Благодатне 1216 1204 1192
смт Володимирівка 6754 6698 6710
смт Донське 5168 5132 5053
смт Комсомольський 426 416 440
смт Новотроїцьке 7138 7093 7020
смт Оленівка 4757 4729 4686
смт Ольгинка 3280 3269 3256
Сільське населення 33792 33314 32852
Володарський район 29776 29605 29472
Міське населення 8560 8539 8515
смт Володарське 8560 8539 8515
Сільське населення 21216 21066 20957
Добропільський район 17359 17104 16980
Міське населення 2006 1963 1937
смт Святогорівка 2006 1963 1937
_______ _ _С_і_л_ь_с_ь_к_е_ н__ас_е_л_е_н__н_я_____________________1_5_3_5_3_______1_5_1_4_1_______1_5_0_4_3_____
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
55
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Костянтинівський район 19451 19358 19256
Сільське населення 19451 19358 19256
Красноармійський район 33144 32792 32439
Міське населення 7503 7459 7382
смт Гродівка 2664 2628 2615
смт Новоекономічне 3117 3098 3049
смт Удачне 1722 1733 1718
Сільське населення 25641 25333 25057
Краснолиманський район 20508 22373 22136
Міське населення 10534 11355 11260
смт Дробишеве 3135 3047 3032
смт Кіровськ 2518 2688 2656
смт Новоселівка 1207 1392 1369
смт Ямпіль 1833 2149 2144
смт Ярова 1841 2079 2059
Сільське населення 9974 11018 10876
Мар'їнський район 85272 84815 84571
Міське населення 56262 56058 55966
м. Мар'їнка 10029 9978 9944
м. Красногорівка 16056 16003 15960
м. Курахове 20372 20224 20142
смт Іллінка 434 448 459
смт Олександрівка 4041 4068 4083
смт Старомихайлівка 5330 5337 5378
Сільське населення 29010 28757 28605
